Stagione;Calciatore;Squadra;Età;Partite Giocate;Minuti Giocati;Reti;Assist;Reti Non Su Rigore;Rigori Tirati;Ammonizioni;Espulsioni;Ruolo?
2024-25;Kyle Henderson;Leicester;20;22;1804;2;5;2;0;5;0;Dif
2024-25;Raheem Martinez;Chelsea;17;36;3132;2;4;2;0;11;0;Dif
2024-25;Mason De Bruyne;Leeds;22;11;1001;3;5;3;0;9;0;Dif
2024-25;Luke Odegaard;Burnley;27;24;2208;2;2;2;0;8;1;Dif
2024-25;Kyle Walker;West Ham;37;33;2607;2;7;1;0;1;0;Cen
2024-25;Richarlison White;Bournemouth;20;23;1840;23;1;23;0;3;0;Att
2024-25;Kevin Sterling;Watford;32;21;1806;4;12;4;0;10;1;Att
2024-25;Mason Grealish;Manchester City;40;6;570;5;7;5;1;0;0;Cen
2024-25;Mohamed Mount;Tottenham;34;4;288;0;2;0;0;8;0;Dif
2024-25;Bruno Moraes;Tottenham;31;24;1656;5;5;5;0;9;0;Dif
2024-25;John Jesus;Luton Town;19;13;819;0;1;0;0;9;0;Por
2024-25;Martin Dias;Newcastle;31;31;2542;7;2;7;0;10;0;Dif
2024-25;Harry Saka;Burnley;19;3;207;0;6;0;0;12;0;Att
2024-25;Virgil Anderson;Manchester United;36;12;996;5;5;5;0;1;0;Dif
2024-25;Ben Moraes;Luton Town;23;18;1098;11;4;11;0;1;0;Cen
2024-25;Jordan Mount;Leicester;38;25;2375;10;13;8;2;11;0;Att
2024-25;Declan Kane;Watford;26;7;553;0;0;0;0;8;0;Por
2024-25;Luke Kane;Watford;23;30;2190;5;3;5;0;9;0;Dif
2024-25;Gabriel Becker;Tottenham;27;1;94;3;9;3;0;12;0;Cen
2024-25;Jack Rashford;Leeds;40;28;2576;1;0;1;0;12;0;Cen
2024-25;John Dias;Crystal Palace;21;22;1760;17;15;17;0;9;0;Att
2024-25;Trent Henderson;Crystal Palace;35;19;1672;6;0;6;0;9;0;Dif
2024-25;Bruno Heung-min;Arsenal;33;36;3312;0;4;0;0;9;0;Dif
2024-25;Ederson Mount;Watford;40;11;990;2;5;2;0;5;0;Cen
2024-25;Son Martinez;Watford;19;17;1037;10;10;10;1;8;0;Cen
2024-25;Son Sancho;Burnley;26;18;1530;0;0;0;0;7;0;Por
2024-25;Gabriel White;Tottenham;34;2;154;3;5;3;0;8;0;Att
2024-25;James Foden;Newcastle;36;38;2812;1;4;1;0;11;0;Dif
2024-25;Ruben Walker;Nottingham Forest;17;33;2112;0;2;0;2;2;0;Att
2024-25;Marcus De Bruyne;Newcastle;33;25;1650;5;6;4;1;7;0;Att
2024-25;Ederson Kane;Fulham;21;33;3036;8;5;8;0;8;0;Cen
2024-25;Bukayo De Bruyne;Manchester United;30;30;2550;10;2;10;0;2;0;Cen
