Stagione,Calciatore,Squadra,Età,Partite Giocate,Minuti Giocati,Reti,Assist,Reti Non Su Rigore,Rigori Tirati,Ammonizioni,Espulsioni,Ruolo?
2024-25,James Abankwah,Udinese,20.0,6.0,88,0.0,0.0,0.0,0.0,1.0,0,Dif
2024-25,James Abankwah,Udinese,20.0,6.0,88,0.0,0.0,0.0,0.0,1.0,0,Cen
2024-25,Saud Abdulhamid,Roma,25.0,4.0,205,0.0,1.0,0.0,0.0,0.0,0,Dif
2024-25,Oliver Abildgaard,Como,28.0,1.0,7,0.0,0.0,0.0,0.0,0.0,0,Cen
2024-25,Tammy Abraham,Roma,26.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0,Att
2024-25,Tammy Abraham,Milan,26.0,28.0,1.183,3.0,4.0,2.0,2.0,1.0,0,Att
2024-25,Federico Accornero,Genoa,20.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0,Cen
2024-25,Francesco Acerbi,Inter,36.0,23.0,1.710,0.0,1.0,0.0,0.0,0.0,0,Dif
2024-25,Zach Adams,Torino,28.0,36.0,2.652,9.0,3.0,9.0,9.0,2.0,0,Att
2024-25,Yacine Adli,Fiorentina,24.0,26.0,1.234,4.0,6.0,4.0,4.0,3.0,1,Cen
2024-25,Vasilije Adžić,Juventus,18.0,6.0,42,0.0,0.0,0.0,0.0,0.0,0,Cen
2024-25,Vasilije Adžić,Juventus,18.0,6.0,42,0.0,0.0,0.0,0.0,0.0,0,Att
2024-25,Michel Aebischer,Bologna,27.0,14.0,724,0.0,0.0,0.0,0.0,2.0,0,Cen
2024-25,Honest Ahanor,Genoa,16.0,6.0,270,0.0,0.0,0.0,0.0,0.0,0,Dif
2024-25,Honest Ahanor,Genoa,16.0,6.0,270,0.0,0.0,0.0,0.0,0.0,0,Cen
2024-25,Junior Ajayi,Hellas Verona,19.0,2.0,13,0.0,0.0,0.0,0.0,0.0,0,Att
2024-25,Jean-Daniel Akpa-Akpro,Monza,31.0,14.0,966,0.0,0.0,0.0,0.0,4.0,0,Cen
2024-25,David Akpan Ankeye,Genoa,22.0,4.0,45,0.0,0.0,0.0,0.0,0.0,0,Att
2024-25,David Akpan Ankeye,Genoa,22.0,4.0,45,0.0,0.0,0.0,0.0,0.0,0,Cen
2024-25,Faride Alidou,Hellas Verona,23.0,3.0,71,0.0,0.0,0.0,0.0,0.0,0,Att
2024-25,Faride Alidou,Hellas Verona,23.0,3.0,71,0.0,0.0,0.0,0.0,0.0,0,Cen
2024-25,Dele Alli,Como,28.0,1.0,9,0.0,0.0,0.0,0.0,0.0,1,Cen
2024-25,Pontus Almqvist,Parma,25.0,29.0,1.112,1.0,1.0,1.0,1.0,5.0,0,Att
2024-25,Pontus Almqvist,Parma,25.0,29.0,1.112,1.0,1.0,1.0,1.0,5.0,0,Cen
2024-25,Giorgio Altare,Venezia,25.0,12.0,753,0.0,0.0,0.0,0.0,2.0,0,Dif
2024-25,Sofyan Amrabat,Fiorentina,27.0,2.0,180,0.0,0.0,0.0,0.0,0.0,0,Cen
2024-25,Angeliño,Roma,27.0,38.0,3.177,2.0,1.0,2.0,2.0,1.0,0,Dif
